iter	Passed	Remaining
1584	12750	31493
1585	12758	31486
1586	12766	31478
1587	12775	31470
1588	12783	31463
1589	12791	31455
1590	12799	31448
1591	12807	31439
1592	12815	31431
1593	12822	31421
1594	12827	31405
1595	12835	31398
1596	12841	31384
1597	12850	31379
1598	12858	31371
1599	12863	31355
1600	12871	31347
1601	12880	31340
1602	12888	31331
1603	12894	31320
1604	12902	31311
1605	12910	31303
1606	12917	31292
1607	12925	31284
1608	12933	31276
1609	12941	31269
1610	12949	31261
1611	12958	31253
1612	12967	31248
1613	12975	31241
1614	12983	31232
1615	12991	31225
1616	12999	31217
1617	13008	31210
1618	13016	31202
1619	13024	31195
1620	13033	31189
1621	13043	31184
1622	13049	31171
1623	13056	31161
1624	13064	31153
1625	13072	31146
1626	13081	31139
1627	13089	31130
1628	13097	31123
1629	13105	31115
1630	13114	31108
1631	13122	31102
1632	13131	31095
1633	13136	31080
1634	13144	31072
1635	13152	31064
1636	13160	31056
1637	13167	31046
1638	13175	31038
1639	13182	31026
1640	13190	31018
1641	13198	31010
1642	13207	31004
1643	13214	30995
1644	13224	30990
1645	13232	30983
1646	13240	30974
1647	13246	30962
1648	13255	30955
1649	13261	30943
1650	13270	30936
1651	13278	30929
1652	13287	30923
1653	13296	30917
1654	13304	30910
1655	13313	30904
1656	13322	30898
1657	13331	30892
1658	13339	30884
1659	13348	30877
1660	13357	30872
1661	13364	30861
1662	13370	30849
1663	13379	30842
1664	13387	30835
1665	13395	30827
1666	13401	30813
1667	13410	30807
1668	13419	30803
1669	13427	30795
1670	13436	30789
1671	13442	30775
1672	13452	30771
